size_id,category,age,units,chest,waist,abdomen,hip,height,neck_to_waist,waist_to_hip,waist_to_knee,waist_to_ankle,wingspan,back_width,back_neck,neck,neck_depth,arm_length,arm_depth,upper_arm,wrist,armhole,head_circ,crotch,leg_length,thigh,skirt_hem,rib_body,rib_neck,ease_factor,ease_arml
11,Man,,in,32.0,26.0,0.0,33.0,67.0,16.5,8.2,23.5,39.0,50.0,14.5,5.83,12.8,3.6,17.75,7.25,10.25,6.0,16.0,22.75,24.0,32.8,16.4,1.25,2.5,1.0,1.45,1.25
12,Man,,in,34.0,28.0,0.0,35.0,68.0,16.75,8.4,24.0,39.5,51.0,15.0,6.07,13.4,3.7,18.0,7.5,10.5,6.25,16.5,23.0,24.9,33.3,16.8,1.25,2.5,1.0,1.51,1.25
13,Man,,in,36.0,30.0,0.0,37.0,69.0,17.0,8.5,24.0,40.0,52.0,15.5,6.31,13.9,3.8,18.25,7.75,11.0,6.5,17.0,23.25,25.8,33.8,17.6,1.25,2.5,1.0,1.57,1.5
14,Man,,in,38.0,32.0,0.0,39.0,70.0,17.5,8.6,24.5,40.5,52.5,16.0,6.55,14.4,3.9,18.5,8.0,11.5,6.75,17.6,23.5,26.7,34.3,18.4,1.4,2.75,1.0,1.63,1.5
15,Man,,in,40.0,34.0,0.0,41.0,71.0,18.0,8.7,25.0,41.0,53.0,16.5,6.79,14.9,4.0,18.75,8.25,12.0,7.0,18.2,23.75,27.5,34.8,19.2,1.4,2.75,1.0,1.69,1.5
16,Man,,in,42.0,36.0,0.0,43.0,72.0,18.5,8.8,25.0,41.5,54.0,17.0,7.03,15.5,4.1,19.0,8.5,12.5,7.25,18.7,24.0,28.4,35.3,20.0,1.4,2.75,1.0,1.75,1.75
17,Man,,in,44.0,39.0,0.0,45.0,72.0,18.75,8.9,25.0,42.0,54.0,17.5,7.27,16.0,4.2,19.25,8.75,13.0,7.5,19.3,24.45,29.0,35.3,20.8,1.4,2.75,1.0,1.8,1.75
18,Man,,in,46.0,42.0,0.0,47.0,72.0,19.0,8.9,25.0,42.0,54.0,18.0,7.52,16.5,4.3,19.5,9.0,13.5,7.75,19.9,24.5,29.7,35.3,21.6,1.5,3.0,1.25,1.85,1.75
19,Man,,in,48.0,44.0,0.0,49.0,72.0,19.5,8.9,25.0,42.0,54.0,18.5,7.76,17.0,4.4,19.75,9.25,14.0,8.0,20.5,24.75,30.3,35.3,22.4,1.5,3.0,1.25,1.9,2.0
20,Man,,in,50.0,46.0,0.0,51.0,72.0,20.0,8.9,25.0,42.0,54.0,19.0,8.0,17.6,4.5,20.0,9.5,14.5,8.25,21.2,25.0,30.9,35.3,23.2,1.5,3.0,1.25,1.95,2.0
21,Man,,in,52.0,48.0,0.0,53.0,72.0,20.5,8.9,25.0,42.0,54.0,19.5,8.25,18.2,4.6,20.25,9.7,15.0,8.5,21.5,25.0,31.5,35.3,24.0,1.5,3.0,1.25,2.0,2.0
